file,algorithm,colors_used,time_ms
g_n200_k2_1.edges,firstfit,8,1.2631
g_n200_k2_1.edges,cbip,4,108.49
g_n200_k2_1.edges,firstfit_luf,2,1.1537
g_n200_k2_10.edges,firstfit,2,1.1837
g_n200_k2_10.edges,cbip,4,112.076
g_n200_k2_10.edges,firstfit_luf,3,1.2171
g_n200_k2_11.edges,firstfit,4,1.1728
g_n200_k2_11.edges,cbip,3,106.1845
g_n200_k2_11.edges,firstfit_luf,2,1.3616
g_n200_k2_12.edges,firstfit,4,1.272
g_n200_k2_12.edges,cbip,4,110.9993
g_n200_k2_12.edges,firstfit_luf,3,1.2558
g_n200_k2_13.edges,firstfit,3,1.2422
g_n200_k2_13.edges,cbip,3,108.4838
g_n200_k2_13.edges,firstfit_luf,3,1.2274
g_n200_k2_14.edges,firstfit,4,1.1711
g_n200_k2_14.edges,cbip,3,111.0749
g_n200_k2_14.edges,firstfit_luf,2,1.441
g_n200_k2_15.edges,firstfit,4,1.1871
g_n200_k2_15.edges,cbip,3,108.0704
g_n200_k2_15.edges,firstfit_luf,2,1.1492
g_n200_k2_16.edges,firstfit,3,1.2081
g_n200_k2_16.edges,cbip,4,111.656
g_n200_k2_16.edges,firstfit_luf,2,1.2212
g_n200_k2_17.edges,firstfit,2,1.1721
g_n200_k2_17.edges,cbip,4,109.6215
g_n200_k2_17.edges,firstfit_luf,3,1.2419
g_n200_k2_18.edges,firstfit,5,1.2121
g_n200_k2_18.edges,cbip,3,109.3669
g_n200_k2_18.edges,firstfit_luf,3,1.2145
g_n200_k2_19.edges,firstfit,3,1.1594
g_n200_k2_19.edges,cbip,2,108.4275
g_n200_k2_19.edges,firstfit_luf,2,1.1842
g_n200_k2_2.edges,firstfit,3,1.152
g_n200_k2_2.edges,cbip,3,109.1404
g_n200_k2_2.edges,firstfit_luf,3,1.173
g_n200_k2_20.edges,firstfit,7,1.2102
g_n200_k2_20.edges,cbip,4,110.4174
g_n200_k2_20.edges,firstfit_luf,4,1.2174
g_n200_k2_21.edges,firstfit,4,1.3318
g_n200_k2_21.edges,cbip,3,113.2302
g_n200_k2_21.edges,firstfit_luf,2,1.1888
g_n200_k2_22.edges,firstfit,4,1.2953
g_n200_k2_22.edges,cbip,4,110.4655
g_n200_k2_22.edges,firstfit_luf,2,1.1611
g_n200_k2_23.edges,firstfit,3,1.169
g_n200_k2_23.edges,cbip,4,125.8469
g_n200_k2_23.edges,firstfit_luf,4,1.2958
g_n200_k2_24.edges,firstfit,5,1.2572
g_n200_k2_24.edges,cbip,3,114.7106
g_n200_k2_24.edges,firstfit_luf,2,1.2052
g_n200_k2_25.edges,firstfit,8,1.204
g_n200_k2_25.edges,cbip,3,110.3785
g_n200_k2_25.edges,firstfit_luf,3,1.1623
g_n200_k2_26.edges,firstfit,5,1.1837
g_n200_k2_26.edges,cbip,2,109.4413
g_n200_k2_26.edges,firstfit_luf,3,1.2047
g_n200_k2_27.edges,firstfit,4,1.2047
g_n200_k2_27.edges,cbip,4,108.3763
g_n200_k2_27.edges,firstfit_luf,2,1.3146
g_n200_k2_28.edges,firstfit,2,1.1692
g_n200_k2_28.edges,cbip,4,111.2761
g_n200_k2_28.edges,firstfit_luf,4,1.1785
g_n200_k2_29.edges,firstfit,5,1.1902
g_n200_k2_29.edges,cbip,2,111.1374
g_n200_k2_29.edges,firstfit_luf,2,1.1685
g_n200_k2_3.edges,firstfit,8,1.2004
g_n200_k2_3.edges,cbip,3,109.1008
g_n200_k2_3.edges,firstfit_luf,2,1.1604
g_n200_k2_30.edges,firstfit,8,1.2655
g_n200_k2_30.edges,cbip,4,110.5974
g_n200_k2_30.edges,firstfit_luf,2,1.2159
g_n200_k2_31.edges,firstfit,2,1.2488
g_n200_k2_31.edges,cbip,4,111.836
g_n200_k2_31.edges,firstfit_luf,5,1.3912
g_n200_k2_32.edges,firstfit,2,1.2047
g_n200_k2_32.edges,cbip,3,112.8824
g_n200_k2_32.edges,firstfit_luf,6,1.214
g_n200_k2_33.edges,firstfit,4,1.3022
g_n200_k2_33.edges,cbip,3,119.9684
g_n200_k2_33.edges,firstfit_luf,4,1.2801
g_n200_k2_34.edges,firstfit,5,1.2422
g_n200_k2_34.edges,cbip,3,119.2966
g_n200_k2_34.edges,firstfit_luf,2,1.2021
g_n200_k2_35.edges,firstfit,3,1.3025
g_n200_k2_35.edges,cbip,4,115.834
g_n200_k2_35.edges,firstfit_luf,4,1.2102
g_n200_k2_36.edges,firstfit,5,1.2796
g_n200_k2_36.edges,cbip,4,112.0412
g_n200_k2_36.edges,firstfit_luf,3,1.236
g_n200_k2_37.edges,firstfit,6,1.312
g_n200_k2_37.edges,cbip,3,113.6134
